ID, Nombre del Animal, Continente, Cantidad de Ejemplares
1, Tigre de Bengala, Asia, 2500
2, Elefante Africano, África, 415000
3, Lince Ibérico, Europa, 1100
4, Rinoceronte Blanco, África, 18500
5, Gorila de Montaña, África, 1000
6, Oso Pardo, Europa, 50000
7, Leopardo de las Nieves, Asia, 4000
8, Águila Imperial, Europa, 500
9, Tortuga Gigante de las Galápagos, África, 15000
10, Cuervo Común, Europa, 20000000
11, Panda Gigante, Asia, 1864
12, León Africano, África, 20000
13, Rinoceronte de Java, Asia, 74
14, Lobo Europeo, Europa, 12000
15, Guepardo, África, 7000
16, Águila Calva, América, 800
17, Cóndor de los Andes, América, 6700
18, Vaquita Marina, América, 10
19, Tigre del Caspio, Asia, 0
20, Urogallo, Europa, 5000
21, Canguro Rojo, Oceanía, 250000
22, Pingüino Emperador, Antártida, 500000
23, Gorila de las Tierras Bajas, África, 100000
24, Jaguar, América, 15000
25, Avestruz, África, 500000
26, Bisonte Europeo, Europa, 6200
27, Águila Real, Europa, 5000
28, Leopardo Amur, Asia, 84
29, Delfín del Ganges, Asia, 1200
30, Rinoceronte Negro, África, 5500
31, Tigre Siberiano, Asia, 600
32, Cebra de Grevy, África, 2000
33, Camello Bactriano, Asia, 1000
34, Mono Aullador, América, 100000
35, Tarántula Goliat, América, 800000
36, Puma, América, 50000
37, Elefante Asiático, Asia, 45000
38, Pingüino de Magallanes, América, 1800000
39, Lémur de Cola Anillada, África, 2000
40, Caribú, América, 2000000
41, Foca Leopardo, Antártida, 220000
42, Gorrión Común, Europa, 1500000000
43, Ibis Eremita, África, 700
44, Caimán Americano, América, 200000
45, Cocodrilo del Nilo, África, 500000
46, Oso Polar, América, 26000
47, Tigre de Malasia, Asia, 200
48, Leopardo Persa, Asia, 1000
49, Murciélago Frugívoro, Asia, 1000000
50, Guacamayo Azul, América, 500
51, Canguro Gris, Oceanía, 3000000
52, Ornitorrinco, Oceanía, 50000
53, Kakapo, Oceanía, 150
54, Dingo, Oceanía, 200000
55, Wombat Común, Oceanía, 100000
56, Koala, Oceanía, 80000
57, Kiwi, Oceanía, 68000
58, Demonio de Tasmania, Oceanía, 25000
59, Pingüino de las Galápagos, América, 2000
60, Puma Americano, América, 30000
61, Águila Harpía, América, 50000
62, Capibara, América, 1000000
63, Oso Negro Americano, América, 600000
64, Tiburón Blanco, América, 3500
65, Armadillo Gigante, América, 10000
66, Nutria Gigante, América, 5000
67, Pecarí de Collar, América, 800000
68, Águila Monera, Asia, 180
69, Rinoceronte de Sumatra, Asia, 80
70, Tarsier Filipino, Asia, 7000
71, Orangután de Borneo, Asia, 104700
72, Foca Monje del Mediterráneo, Europa, 700
73, Lobo Rojo, América, 30
74, Bisonte Americano, América, 36000
75, Tiburón Martillo, América, 200000
76, Albatros Errante, Antártida, 25000
77, Foca de Weddell, Antártida, 800000
78, Lobo Marino de América del Sur, América, 300000
79, Tiburón Tigre, América, 8000
80, Tucán Toco, América, 500000
81, Flamenco Andino, América, 50000
82, Águila Pescadora, América, 400000
83, Ballena Azul, Antártida, 15000
84, Pingüino de Adelia, Antártida, 12000000
85, Lobo Ártico, América, 200000
86, Morsa, América, 250000
87, Guacamayo Verde, América, 2000
88, Iguana Verde, América, 5000000
89, Jaguarundi, América, 50000
90, Tapir Malayo, Asia, 2500
91, Pangolín, Asia, 50000
92, Ganso de las Nieves, América, 500000
93, Lobo Etíope, África, 500
94, Elefante de Bosque, África, 100000
95, Serval, África, 100000
96, Hipopótamo Pigmeo, África, 3000
97, Colobo Rojo de Zanzíbar, África, 5000
98, Zorro Feneco, África, 150000
99, Mandril, África, 8000
100, Impala, África, 2000000
101, Suricata, África, 600000
102, Dragón de Komodo, Asia, 6000
103, Ciervo Sica, Asia, 100000
104, Salamandra Gigante China, Asia, 100
105, Tigre Indochino, Asia, 350
106, Aye-Aye, África, 10000
107, Lemur Negro, África, 6000
108, Fosa, África, 2500
109, Zorro Ártico, América, 100000
110, Pato Cabezón, Europa, 35000
111, Cigüeña Negra, Europa, 6000
112, Urraca, Europa, 2000000
113, Cabra Montés Ibérica, Europa, 30000
114, Gamo Europeo, Europa, 200000
115, Lince Boreal, Europa, 50000
116, Zorro Rojo, Europa, 800000
117, Cárabo Común, Europa, 700000
118, Nutria Europea, Europa, 100000
119, Perca Europea, Europa, 500000
120, Conejo Europeo, Europa, 5000000
121, Marmota Alpina, Europa, 100000
122, Gaviota Argéntea, Europa, 900000
123, Pez Espada, América, 300000
124, Foca de Groenlandia, América, 2000000
125, Pavo Salvaje, América, 7000000
126, Mono Ardilla, América, 200000
127, Anaconda Verde, América, 30000
128, Delfín Rosado, América, 4000
